3#__tn,3$__tt,5$__idx,1$__cid
idx__4,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__4,tn__1999,1,1
tn__1999,cid__year,1,1
idx__5,tt__phillippe_bonnet,1,1.0
tt__phillippe_bonnet,cid__author_1,1.0,1
idx__5,tt__kyle_buza,1,1.0
tt__kyle_buza,cid__author_2,1.0,1
idx__5,tt__zhiyuan_chan,1,1.0
tt__zhiyuan_chan,cid__author_3,1.0,1
idx__5,tt__victor_cheng,1,1.0
tt__victor_cheng,cid__author_4,1.0,1
idx__5,tt__the_cornell_jaguar_project_adding_mobility_to_predator,1,1.0
tt__the_cornell_jaguar_project_adding_mobility_to_predator,cid__title,1.0,1
idx__5,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__5,tn__1999,1,1
tn__1999,cid__year,1,1
idx__6,tt__nick_roussopoulos,1,1.0
tt__nick_roussopoulos,cid__author_1,1.0,1
idx__6,tt__yannis_kotidis,1,1.0
tt__yannis_kotidis,cid__author_2,1.0,1
idx__6,tt__yannis_sismanis,1,1.0
tt__yannis_sismanis,cid__author_3,1.0,1
idx__6,tt__the_active_multisync_controller_of_the_cubetree_storage_organization,1,1.0
tt__the_active_multisync_controller_of_the_cubetree_storage_organization,cid__title,1.0,1
idx__6,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__6,tn__1999,1,1
tn__1999,cid__year,1,1
idx__7,tt__michael_b246hlen,1,1.0
tt__michael_b246hlen,cid__author_1,1.0,1
idx__7,tt__linas_bukauskas,1,1.0
tt__linas_bukauskas,cid__author_2,1.0,1
idx__7,tt__curtis_dyreson,1,1.0
tt__curtis_dyreson,cid__author_3,1.0,1
idx__7,tt__the_jungle_database_search_engine,1,1.0
tt__the_jungle_database_search_engine,cid__title,1.0,1
idx__7,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__7,tn__1999,1,1
tn__1999,cid__year,1,1
idx__8,tt__n_r_jennings,1,1.0
tt__n_r_jennings,cid__author_1,1.0,1
idx__8,tt__t_j_norman,1,1.0
tt__t_j_norman,cid__author_2,1.0,1
idx__8,tt__p_faratin,1,1.0
tt__p_faratin,cid__author_3,1.0,1
idx__8,tt__adept_an_agentbased_approach_to_business_process_management,1,1.0
tt__adept_an_agentbased_approach_to_business_process_management,cid__title,1.0,1
idx__8,tt__acm_sigmod_record,1,1.0
tt__acm_sigmod_record,cid__venue,1.0,1
idx__8,tn__1998,1,1
tn__1998,cid__year,1,1
idx__9,tt__benny_reich,1,1.0
tt__benny_reich,cid__author_1,1.0,1
idx__9,tt__israel_benshaul,1,1.0
tt__israel_benshaul,cid__author_2,1.0,1
idx__9,tt__a_componentized_architecture_for_dynamic_electronic_markets,1,1.0
tt__a_componentized_architecture_for_dynamic_electronic_markets,cid__title,1.0,1
idx__9,tt__acm_sigmod_record,1,1.0
tt__acm_sigmod_record,cid__venue,1.0,1
idx__9,tn__1998,1,1
tn__1998,cid__year,1,1
idx__10,tt__susanne_boll,1,1.0
tt__susanne_boll,cid__author_1,1.0,1
idx__10,tt__wolfgang_klas,1,1.0
tt__wolfgang_klas,cid__author_2,1.0,1
idx__10,tt__bernard_battaglin,1,1.0
tt__bernard_battaglin,cid__author_3,1.0,1
idx__10,tt__design_and_implementation_of_rmp_a_virtual_electronic_market_place,1,1.0
tt__design_and_implementation_of_rmp_a_virtual_electronic_market_place,cid__title,1.0,1
idx__10,tt__acm_sigmod_record,1,1.0
tt__acm_sigmod_record,cid__venue,1.0,1
idx__10,tn__1998,1,1
tn__1998,cid__year,1,1
idx__11,tt__alex_g_b252chner,1,1.0
tt__alex_g_b252chner,cid__author_1,1.0,1
idx__11,tt__maurice_d_mulvenna,1,1.0
tt__maurice_d_mulvenna,cid__author_2,1.0,1
idx__11,tt__discovering_internet_marketing_intelligence_through_online_analytical_web_usage_mining,1,1.0
tt__discovering_internet_marketing_intelligence_through_online_analytical_web_usage_mining,cid__title,1.0,1
idx__11,tt__acm_sigmod_record,1,1.0
tt__acm_sigmod_record,cid__venue,1.0,1
idx__11,tn__1998,1,1
tn__1998,cid__year,1,1
idx__12,tt__martin_bichler,1,1.0
tt__martin_bichler,cid__author_1,1.0,1
idx__12,tt__arie_segev,1,1.0
tt__arie_segev,cid__author_2,1.0,1
idx__12,tt__j_leon_zhao,1,1.0
tt__j_leon_zhao,cid__author_3,1.0,1
idx__12,tt__componentbased_ecommerce_assessment_of_current_practices_and_future_directions,1,1.0
tt__componentbased_ecommerce_assessment_of_current_practices_and_future_directions,cid__title,1.0,1
idx__12,tt__acm_sigmod_record,1,1.0
tt__acm_sigmod_record,cid__venue,1.0,1
idx__12,tn__1998,1,1
tn__1998,cid__year,1,1
idx__13,tt__sherif_danish,1,1.0
tt__sherif_danish,cid__author_1,1.0,1
idx__13,tt__building_databasedriven_electronic_catalogs,1,1.0
tt__building_databasedriven_electronic_catalogs,cid__title,1.0,1
idx__13,tt__acm_sigmod_record,1,1.0
tt__acm_sigmod_record,cid__venue,1.0,1
idx__13,tn__1998,1,1
tn__1998,cid__year,1,1
idx__14,tt__bart_meltzer,1,1.0
tt__bart_meltzer,cid__author_1,1.0,1
idx__14,tt__robert_glushko,1,1.0
tt__robert_glushko,cid__author_2,1.0,1
idx__14,tt__xml_and_electronic_commerce_enabling_the_network_economy,1,1.0
tt__xml_and_electronic_commerce_enabling_the_network_economy,cid__title,1.0,1
idx__14,tt__acm_sigmod_record,1,1.0
tt__acm_sigmod_record,cid__venue,1.0,1
idx__14,tn__1998,1,1
tn__1998,cid__year,1,1
idx__15,tt__asuman_dogac,1,1.0
tt__asuman_dogac,cid__author_1,1.0,1
idx__15,tt__ilker_durusoy,1,1.0
tt__ilker_durusoy,cid__author_2,1.0,1
idx__15,tt__sena_arpinar,1,1.0
tt__sena_arpinar,cid__author_3,1.0,1
idx__15,tt__nesime_tatbul,1,1.0
tt__nesime_tatbul,cid__author_4,1.0,1
idx__15,tt__a_workflowbased_electronic_marketplace_on_the_web,1,1.0
tt__a_workflowbased_electronic_marketplace_on_the_web,cid__title,1.0,1
idx__15,tt__acm_sigmod_record,1,1.0
tt__acm_sigmod_record,cid__venue,1.0,1
idx__15,tn__1998,1,1
tn__1998,cid__year,1,1
idx__16,tt__mehmet_altinel,1,1.0
tt__mehmet_altinel,cid__author_1,1.0,1
idx__16,tt__demet_aksoy,1,1.0
tt__demet_aksoy,cid__author_2,1.0,1
idx__16,tt__thomas_baby,1,1.0
tt__thomas_baby,cid__author_3,1.0,1
idx__16,tt__michael_franklin,1,1.0
tt__michael_franklin,cid__author_4,1.0,1
idx__16,tt__dbistoolkit_adaptable_middleware_for_large_scale_data_delivery,1,1.0
tt__dbistoolkit_adaptable_middleware_for_large_scale_data_delivery,cid__title,1.0,1
idx__16,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__16,tn__1999,1,1
tn__1999,cid__year,1,1
idx__17,tt__ling_liu,1,1.0
tt__ling_liu,cid__author_1,1.0,1
idx__17,tt__wei_han,1,1.0
tt__wei_han,cid__author_2,1.0,1
idx__17,tt__david_buttler,1,1.0
tt__david_buttler,cid__author_3,1.0,1
idx__17,tt__calton_pu,1,1.0
tt__calton_pu,cid__author_4,1.0,1
idx__17,tt__an_xjmlbased_wrapper_generator_for_web_information_extraction,1,1.0
tt__an_xjmlbased_wrapper_generator_for_web_information_extraction,cid__title,1.0,1
idx__17,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__17,tn__1999,1,1
tn__1999,cid__year,1,1
idx__18,tt__reinhard_braumandl,1,1.0
tt__reinhard_braumandl,cid__author_1,1.0,1
idx__18,tt__alfons_kemper,1,1.0
tt__alfons_kemper,cid__author_2,1.0,1
idx__18,tt__donald_kossmann,1,1.0
tt__donald_kossmann,cid__author_3,1.0,1
idx__18,tt__database_patchwork_on_the_internet,1,1.0
tt__database_patchwork_on_the_internet,cid__title,1.0,1
idx__18,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__18,tn__1999,1,1
tn__1999,cid__year,1,1
idx__19,tt__ouri_wolfson,1,1.0
tt__ouri_wolfson,cid__author_1,1.0,1
idx__19,tt__prasad_sistla,1,1.0
tt__prasad_sistla,cid__author_2,1.0,1
idx__19,tt__bo_xu,1,1.0
tt__bo_xu,cid__author_3,1.0,1
idx__19,tt__jutai_zhou,1,1.0
tt__jutai_zhou,cid__author_4,1.0,1
idx__19,tt__domino_databases_for_moving_objects_tracking,1,1.0
tt__domino_databases_for_moving_objects_tracking,cid__title,1.0,1
idx__19,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__19,tn__1999,1,1
tn__1999,cid__year,1,1
idx__20,tt__lyman_do,1,1.0
tt__lyman_do,cid__author_1,1.0,1
idx__20,tt__prabhu_ram,1,1.0
tt__prabhu_ram,cid__author_2,1.0,1
idx__20,tt__pamela_drew,1,1.0
tt__pamela_drew,cid__author_3,1.0,1
idx__20,tt__the_need_for_distributed_asynchronous_transactions,1,1.0
tt__the_need_for_distributed_asynchronous_transactions,cid__title,1.0,1
idx__20,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__20,tn__1999,1,1
tn__1999,cid__year,1,1
idx__21,tt__thomas_bergstraesser,1,1.0
tt__thomas_bergstraesser,cid__author_1,1.0,1
idx__21,tt__philip_a_bernstein,1,1.0
tt__philip_a_bernstein,cid__author_2,1.0,1
idx__21,tt__shankar_pal,1,1.0
tt__shankar_pal,cid__author_3,1.0,1
idx__21,tt__david_shutt,1,1.0
tt__david_shutt,cid__author_4,1.0,1
idx__21,tt__versions_and_workspaces_in_microsoft_repository,1,1.0
tt__versions_and_workspaces_in_microsoft_repository,cid__title,1.0,1
idx__21,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__21,tn__1999,1,1
tn__1999,cid__year,1,1
idx__22,tt__stefano_m_trisolini,1,1.0
tt__stefano_m_trisolini,cid__author_1,1.0,1
idx__22,tt__maurizio_lenzerini,1,1.0
tt__maurizio_lenzerini,cid__author_2,1.0,1
idx__22,tt__daniele_nardi,1,1.0
tt__daniele_nardi,cid__author_3,1.0,1
idx__22,tt__data_integration_and_warehousing_in_telecom_italia,1,1.0
tt__data_integration_and_warehousing_in_telecom_italia,cid__title,1.0,1
idx__22,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__22,tn__1999,1,1
tn__1999,cid__year,1,1
idx__23,tt__matthias_jarke,1,1.0
tt__matthias_jarke,cid__author_1,1.0,1
idx__23,tt__christoph_quix,1,1.0
tt__christoph_quix,cid__author_2,1.0,1
idx__23,tt__guido_blees,1,1.0
tt__guido_blees,cid__author_3,1.0,1
idx__23,tt__dirk_lehmann,1,1.0
tt__dirk_lehmann,cid__author_4,1.0,1
idx__23,tt__improving_oltp_data_quality_using_data_warehouse_mechanisms,1,1.0
tt__improving_oltp_data_quality_using_data_warehouse_mechanisms,cid__title,1.0,1
idx__23,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__23,tn__1999,1,1
tn__1999,cid__year,1,1
idx__24,tt__e_a_rundensteiner,1,1.0
tt__e_a_rundensteiner,cid__author_1,1.0,1
idx__24,tt__k_claypool,1,1.0
tt__k_claypool,cid__author_2,1.0,1
idx__24,tt__m_li,1,1.0
tt__m_li,cid__author_3,1.0,1
idx__24,tt__l_chen,1,1.0
tt__l_chen,cid__author_4,1.0,1
idx__24,tt__serf_odmgbased_generic_restructuring_facility,1,1.0
tt__serf_odmgbased_generic_restructuring_facility,cid__title,1.0,1
idx__24,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__24,tn__1999,1,1
tn__1999,cid__year,1,1
idx__25,tt__wensyan_li,1,1.0
tt__wensyan_li,cid__author_1,1.0,1
idx__25,tt__quoc_vu,1,1.0
tt__quoc_vu,cid__author_2,1.0,1
idx__25,tt__edward_chang,1,1.0
tt__edward_chang,cid__author_3,1.0,1
idx__25,tt__divyakant_agrawal,1,1.0
tt__divyakant_agrawal,cid__author_4,1.0,1
idx__25,tt__powerbookmarks_a_system_for_personalizable_web_information_organizatio_sharin_and_management,1,1.0
tt__powerbookmarks_a_system_for_personalizable_web_information_organizatio_sharin_and_management,cid__title,1.0,1
idx__25,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__25,tn__1999,1,1
tn__1999,cid__year,1,1
idx__26,tt__swarup_acharya,1,1.0
tt__swarup_acharya,cid__author_1,1.0,1
idx__26,tt__phillip_b_gibbons,1,1.0
tt__phillip_b_gibbons,cid__author_2,1.0,1
idx__26,tt__viswanath_poosala,1,1.0
tt__viswanath_poosala,cid__author_3,1.0,1
idx__26,tt__sridhar_ramaswamy,1,1.0
tt__sridhar_ramaswamy,cid__author_4,1.0,1
idx__26,tt__the_aqua_approximate_query_answering_system,1,1.0
tt__the_aqua_approximate_query_answering_system,cid__title,1.0,1
idx__26,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__26,tn__1999,1,1
tn__1999,cid__year,1,1
idx__27,tt__tong_zhou,1,1.0
tt__tong_zhou,cid__author_1,1.0,1
idx__27,tt__ling_liu,1,1.0
tt__ling_liu,cid__author_2,1.0,1
idx__27,tt__calton_pu,1,1.0
tt__calton_pu,cid__author_3,1.0,1
idx__27,tt__tam_a_system_for_dynamic_transactional_activity_management,1,1.0
tt__tam_a_system_for_dynamic_transactional_activity_management,cid__title,1.0,1
idx__27,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__27,tn__1999,1,1
tn__1999,cid__year,1,1
idx__28,tt__raymond_ng,1,1.0
tt__raymond_ng,cid__author_1,1.0,1
idx__28,tt__laks_v_s_lakshmanan,1,1.0
tt__laks_v_s_lakshmanan,cid__author_2,1.0,1
idx__28,tt__jiawei_han,1,1.0
tt__jiawei_han,cid__author_3,1.0,1
idx__28,tt__teresa_mah,1,1.0
tt__teresa_mah,cid__author_4,1.0,1
idx__28,tt__exploratory_mining_via_constrained_frequent_set_queries,1,1.0
tt__exploratory_mining_via_constrained_frequent_set_queries,cid__title,1.0,1
idx__28,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__28,tn__1999,1,1
tn__1999,cid__year,1,1
idx__29,tt__e_a_rundensteiner,1,1.0
tt__e_a_rundensteiner,cid__author_1,1.0,1
idx__29,tt__a_koeller,1,1.0
tt__a_koeller,cid__author_2,1.0,1
idx__29,tt__x_zhang,1,1.0
tt__x_zhang,cid__author_3,1.0,1
idx__29,tt__a_j_lee,1,1.0
tt__a_j_lee,cid__author_4,1.0,1
idx__29,tt__evolvable_view_environment_eve_nonequivalent_view_maintenance_under_schema_changes,1,1.0
tt__evolvable_view_environment_eve_nonequivalent_view_maintenance_under_schema_changes,cid__title,1.0,1
idx__29,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__29,tn__1999,1,1
tn__1999,cid__year,1,1
idx__30,tt__roger_barga,1,1.0
tt__roger_barga,cid__author_1,1.0,1
idx__30,tt__david_b_lomet,1,1.0
tt__david_b_lomet,cid__author_2,1.0,1
idx__30,tt__phoenix_making_applications_robust,1,1.0
tt__phoenix_making_applications_robust,cid__title,1.0,1
idx__30,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__30,tn__1999,1,1
tn__1999,cid__year,1,1
idx__31,tt__brad_adelberg,1,1.0
tt__brad_adelberg,cid__author_1,1.0,1
idx__31,tt__matthew_denny,1,1.0
tt__matthew_denny,cid__author_2,1.0,1
idx__31,tt__nodose_version_20,1,1.0
tt__nodose_version_20,cid__title,1.0,1
idx__31,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__31,tn__1999,1,1
tn__1999,cid__year,1,1
idx__32,tt__vishu_krishnamurthy,1,1.0
tt__vishu_krishnamurthy,cid__author_1,1.0,1
idx__32,tt__sandeepan_banerjee,1,1.0
tt__sandeepan_banerjee,cid__author_2,1.0,1
idx__32,tt__anil_nori,1,1.0
tt__anil_nori,cid__author_3,1.0,1
idx__32,tt__bringing_objectrelational_technology_to_the_mainstream,1,1.0
tt__bringing_objectrelational_technology_to_the_mainstream,cid__title,1.0,1
idx__32,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__32,tn__1999,1,1
tn__1999,cid__year,1,1
idx__33,tt__paul_brown,1,1.0
tt__paul_brown,cid__author_1,1.0,1
idx__33,tt__implementing_the_spirit_of_sql99,1,1.0
tt__implementing_the_spirit_of_sql99,cid__title,1.0,1
idx__33,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__33,tn__1999,1,1
tn__1999,cid__year,1,1
idx__34,tt__dan_suciu,1,1.0
tt__dan_suciu,cid__author_1,1.0,1
idx__34,tt__managing_web_data,1,1.0
tt__managing_web_data,cid__title,1.0,1
idx__34,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__34,tn__1999,1,1
tn__1999,cid__year,1,1
idx__35,tt__m_carey,1,1.0
tt__m_carey,cid__author_1,1.0,1
idx__35,tt__d_chamberlin,1,1.0
tt__d_chamberlin,cid__author_2,1.0,1
idx__35,tt__d_doole,1,1.0
tt__d_doole,cid__author_3,1.0,1
idx__35,tt__s_rielau,1,1.0
tt__s_rielau,cid__author_4,1.0,1
idx__35,tt__o_whats_happening_to_db2,1,1.0
tt__o_whats_happening_to_db2,cid__title,1.0,1
idx__35,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__35,tn__1999,1,1
tn__1999,cid__year,1,1
idx__36,tt__soumen_chakrabarti,1,1.0
tt__soumen_chakrabarti,cid__author_1,1.0,1
idx__36,tt__hypertext_databases_and_data_mining,1,1.0
tt__hypertext_databases_and_data_mining,cid__title,1.0,1
idx__36,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__36,tn__1999,1,1
tn__1999,cid__year,1,1
idx__37,tt__alexander_hinneburg,1,1.0
tt__alexander_hinneburg,cid__author_1,1.0,1
idx__37,tt__daniel_a_keim,1,1.0
tt__daniel_a_keim,cid__author_2,1.0,1
idx__37,tt__clustering_methods_for_large_databases_from_the_past_to_the_future,1,1.0
tt__clustering_methods_for_large_databases_from_the_past_to_the_future,cid__title,1.0,1
idx__37,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__37,tn__1999,1,1
tn__1999,cid__year,1,1
idx__38,tt__dirk_d252llmann,1,1.0
tt__dirk_d252llmann,cid__author_1,1.0,1
idx__38,tt__petabyte_databases,1,1.0
tt__petabyte_databases,cid__title,1.0,1
idx__38,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__38,tn__1999,1,1
tn__1999,cid__year,1,1
idx__39,tt__c_mohan,1,1.0
tt__c_mohan,cid__author_1,1.0,1
idx__39,tt__a_database_perspective_on_lotus_dominonotes,1,1.0
tt__a_database_perspective_on_lotus_dominonotes,cid__title,1.0,1
idx__39,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__39,tn__1999,1,1
tn__1999,cid__year,1,1
idx__40,tt__bassel_ojjeh,1,1.0
tt__bassel_ojjeh,cid__author_1,1.0,1
idx__40,tt__microsoft_site_server_commerce_ed_talkslides_available_at_the_conference,1,1.0
tt__microsoft_site_server_commerce_ed_talkslides_available_at_the_conference,cid__title,1.0,1
idx__40,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__40,tn__1999,1,1
tn__1999,cid__year,1,1
idx__41,tt__anand_rajaraman,1,1.0
tt__anand_rajaraman,cid__author_1,1.0,1
idx__41,tt__ecommerce_database_issues_and_experience_talkslides_available_at_at_the_conference,1,1.0
tt__ecommerce_database_issues_and_experience_talkslides_available_at_at_the_conference,cid__title,1.0,1
idx__41,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__41,tn__1999,1,1
tn__1999,cid__year,1,1
idx__42,tt__brad_hammond,1,1.0
tt__brad_hammond,cid__author_1,1.0,1
idx__42,tt__merge_replication_in_microsofts_sql_server_70,1,1.0
tt__merge_replication_in_microsofts_sql_server_70,cid__title,1.0,1
idx__42,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__42,tn__1999,1,1
tn__1999,cid__year,1,1
idx__43,tt__corporate_timesten_team,1,1.0
tt__corporate_timesten_team,cid__author_1,1.0,1
idx__43,tt__inmemory_data_management_for_consumer_transactions_the_timesten_approach,1,1.0
tt__inmemory_data_management_for_consumer_transactions_the_timesten_approach,cid__title,1.0,1
idx__43,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__43,tn__1999,1,1
tn__1999,cid__year,1,1
idx__44,tt__walt_kohler,1,1.0
tt__walt_kohler,cid__author_1,1.0,1
idx__44,tt__emc_information_sharing_direct_access_to_mvs_data_from_unix_and_nt,1,1.0
tt__emc_information_sharing_direct_access_to_mvs_data_from_unix_and_nt,cid__title,1.0,1
idx__44,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__44,tn__1999,1,1
tn__1999,cid__year,1,1
idx__45,tt__rick_greer,1,1.0
tt__rick_greer,cid__author_1,1.0,1
idx__45,tt__daytona_and_the_foruthgeneration_language_cymbal,1,1.0
tt__daytona_and_the_foruthgeneration_language_cymbal,cid__title,1.0,1
idx__45,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__45,tn__1999,1,1
tn__1999,cid__year,1,1
idx__46,tt__j_baulier,1,1.0
tt__j_baulier,cid__author_1,1.0,1
idx__46,tt__p_bohannon,1,1.0
tt__p_bohannon,cid__author_2,1.0,1
idx__46,tt__s_gogate,1,1.0
tt__s_gogate,cid__author_3,1.0,1
idx__46,tt__c_gupta,1,1.0
tt__c_gupta,cid__author_4,1.0,1
idx__46,tt__datablitz_storage_manager_mainmemory_database_performance_for_critical_applications,1,1.0
tt__datablitz_storage_manager_mainmemory_database_performance_for_critical_applications,cid__title,1.0,1
idx__46,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__46,tn__1999,1,1
tn__1999,cid__year,1,1
idx__47,tt__k_v_ravi_kanth,1,1.0
tt__k_v_ravi_kanth,cid__author_1,1.0,1
idx__47,tt__siva_ravada,1,1.0
tt__siva_ravada,cid__author_2,1.0,1
idx__47,tt__jayant_sharma,1,1.0
tt__jayant_sharma,cid__author_3,1.0,1
idx__47,tt__jay_banerjee,1,1.0
tt__jay_banerjee,cid__author_4,1.0,1
idx__47,tt__indexing_mediumdimensionality_data_in_oracle,1,1.0
tt__indexing_mediumdimensionality_data_in_oracle,cid__title,1.0,1
idx__47,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__47,tn__1999,1,1
tn__1999,cid__year,1,1
idx__48,tt__alin_deutsch,1,1.0
tt__alin_deutsch,cid__author_1,1.0,1
idx__48,tt__mary_fernandez,1,1.0
tt__mary_fernandez,cid__author_2,1.0,1
idx__48,tt__dan_suciu,1,1.0
tt__dan_suciu,cid__author_3,1.0,1
idx__48,tt__storing_semistructured_data_with_stored,1,1.0
tt__storing_semistructured_data_with_stored,cid__title,1.0,1
idx__48,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__48,tn__1999,1,1
tn__1999,cid__year,1,1
idx__49,tt__daniel_a_keim,1,1.0
tt__daniel_a_keim,cid__author_1,1.0,1
idx__49,tt__efficient_geometrybased_similarity_search_of_3d_spatial_databases,1,1.0
tt__efficient_geometrybased_similarity_search_of_3d_spatial_databases,cid__title,1.0,1
idx__49,tt__international_conference_on_management_of_data,1,1.0
