3#__tn,3$__tt,5$__idx,1$__cid
tt__the_print_shop_pro_publisher_22_deluxe_dvd,cid__0_title,1.0,1
idx__36,tt__stomp_inc,1,1.0
tt__stomp_inc,cid__0_manufacturer,1.0,1
idx__36,tn__40,1,1
tn__40,cid__0_price,1,1
idx__36,tt__stomp_inc_recover_lost_data_2005,1,1.0
tt__stomp_inc_recover_lost_data_2005,cid__0_title,1.0,1
idx__37,tt__dorlingkindersleymultimedia_dk,1,1.0
tt__dorlingkindersleymultimedia_dk,cid__0_manufacturer,1.0,1
idx__37,tn__30,1,1
tn__30,cid__0_price,1,1
idx__37,tt__my_first_bible_stories,1,1.0
tt__my_first_bible_stories,cid__0_title,1.0,1
idx__38,tt__aladdin,1,1.0
tt__aladdin,cid__0_manufacturer,1.0,1
idx__38,tn__60,1,1
tn__60,cid__0_price,1,1
idx__38,tt__the_big_mix_mac,1,1.0
tt__the_big_mix_mac,cid__0_title,1.0,1
idx__39,tt__xoom,1,1.0
tt__xoom,cid__0_manufacturer,1.0,1
idx__39,tt__xoom_movie_clone_3_gold,1,1.0
tt__xoom_movie_clone_3_gold,cid__0_title,1.0,1
idx__40,tt__encore,1,1.0
tt__encore,cid__0_manufacturer,1.0,1
idx__40,tn__50,1,1
tn__50,cid__0_price,1,1
idx__40,tt__the_print_shop_22_deluxe,1,1.0
tt__the_print_shop_22_deluxe,cid__0_title,1.0,1
idx__41,tt__imsi,1,1.0
tt__imsi,cid__0_manufacturer,1.0,1
idx__41,tn__40,1,1
tn__40,cid__0_price,1,1
idx__41,tt__imsi_turbocad_designer_v_11,1,1.0
tt__imsi_turbocad_designer_v_11,cid__0_title,1.0,1
idx__42,tt__tri_synergy,1,1.0
tt__tri_synergy,cid__0_manufacturer,1.0,1
idx__42,tn__30,1,1
tn__30,cid__0_price,1,1
idx__42,tt__lavasoft_adaware_plus_edition,1,1.0
tt__lavasoft_adaware_plus_edition,cid__0_title,1.0,1
idx__43,tt__imsi_design,1,1.0
tt__imsi_design,cid__0_manufacturer,1.0,1
idx__43,tt__clip_art_and_more_250_000_jewel_case,1,1.0
tt__clip_art_and_more_250_000_jewel_case,cid__0_title,1.0,1
idx__44,tt__topics_entertainment,1,1.0
tt__topics_entertainment,cid__0_manufacturer,1.0,1
idx__44,tt__instant_immersion_language_lab_deluxe_edition,1,1.0
tt__instant_immersion_language_lab_deluxe_edition,cid__0_title,1.0,1
idx__45,tt__topics_entertainment,1,1.0
tt__topics_entertainment,cid__0_manufacturer,1.0,1
idx__45,tn__50,1,1
tn__50,cid__0_price,1,1
idx__45,tt__elementary_school_success_deluxe_2006,1,1.0
tt__elementary_school_success_deluxe_2006,cid__0_title,1.0,1
idx__46,tt__topics_entertainment,1,1.0
tt__topics_entertainment,cid__0_manufacturer,1.0,1
idx__46,tn__30,1,1
tn__30,cid__0_price,1,1
idx__46,tt__national_geographic_presents_redshift_planetarium,1,1.0
tt__national_geographic_presents_redshift_planetarium,cid__0_title,1.0,1
idx__47,tt__topics_entertainment,1,1.0
tt__topics_entertainment,cid__0_manufacturer,1.0,1
idx__47,tn__50,1,1
tn__50,cid__0_price,1,1
idx__47,tt__math_success_deluxe_2006,1,1.0
tt__math_success_deluxe_2006,cid__0_title,1.0,1
idx__48,tt__topics_entertainment,1,1.0
tt__topics_entertainment,cid__0_manufacturer,1.0,1
idx__48,tn__30,1,1
tn__30,cid__0_price,1,1
idx__48,tt__national_geographic_presents_forces_of_nature,1,1.0
tt__national_geographic_presents_forces_of_nature,cid__0_title,1.0,1
idx__49,tt__topics_entertainment,1,1.0
tt__topics_entertainment,cid__0_manufacturer,1.0,1
idx__49,tn__50,1,1
tn__50,cid__0_price,1,1
idx__49,tt__reference_success_deluxe_2006,1,1.0
tt__reference_success_deluxe_2006,cid__0_title,1.0,1
idx__50,tt__scholastic,1,1.0
tt__scholastic,cid__0_manufacturer,1.0,1
idx__50,tn__10,1,1
tn__10,cid__0_price,1,1
idx__50,tt__clifford_the_big_red_dog_thinking_adventures,1,1.0
tt__clifford_the_big_red_dog_thinking_adventures,cid__0_title,1.0,1
idx__51,tt__valusoft,1,1.0
tt__valusoft,cid__0_manufacturer,1.0,1
idx__51,tn__15,1,1
tn__15,cid__0_price,1,1
idx__51,tt__mastercook_deluxe_low_carb,1,1.0
tt__mastercook_deluxe_low_carb,cid__0_title,1.0,1
idx__52,tt__topics_entertainment,1,1.0
tt__topics_entertainment,cid__0_manufacturer,1.0,1
idx__52,tn__10,1,1
tn__10,cid__0_price,1,1
idx__52,tt__instant_home_design_jewel_case,1,1.0
tt__instant_home_design_jewel_case,cid__0_title,1.0,1
idx__53,tt__boomerang,1,1.0
tt__boomerang,cid__0_manufacturer,1.0,1
idx__53,tt__boomerang_webshop_platinum,1,1.0
tt__boomerang_webshop_platinum,cid__0_title,1.0,1
idx__54,tt__smithmicrosoftware,1,1.0
tt__smithmicrosoftware,cid__0_manufacturer,1.0,1
idx__54,tn__30,1,1
tn__30,cid__0_price,1,1
idx__54,tt__allume_boost_xp_for_windows,1,1.0
tt__allume_boost_xp_for_windows,cid__0_title,1.0,1
idx__55,tt__knowledge_adventure,1,1.0
tt__knowledge_adventure,cid__0_manufacturer,1.0,1
idx__55,tn__10,1,1
tn__10,cid__0_price,1,1
idx__55,tt__jumpstart_learning_games_phonics_pc_mac,1,1.0
tt__jumpstart_learning_games_phonics_pc_mac,cid__0_title,1.0,1
idx__56,tt__topics_entertainment,1,1.0
tt__topics_entertainment,cid__0_manufacturer,1.0,1
idx__56,tn__20,1,1
tn__20,cid__0_price,1,1
idx__56,tt__kids_power_fun_for_little_ones,1,1.0
tt__kids_power_fun_for_little_ones,cid__0_title,1.0,1
idx__57,tt__topics_entertainment,1,1.0
tt__topics_entertainment,cid__0_manufacturer,1.0,1
idx__57,tn__20,1,1
tn__20,cid__0_price,1,1
idx__57,tt__museums_of_the_world,1,1.0
tt__museums_of_the_world,cid__0_title,1.0,1
idx__58,tt__thq,1,1.0
tt__thq,cid__0_manufacturer,1.0,1
idx__58,tn__20,1,1
tn__20,cid__0_price,1,1
idx__58,tt__matchbox_crosstown_heroes,1,1.0
tt__matchbox_crosstown_heroes,cid__0_title,1.0,1
idx__59,tt__globalsoftwarepublishing,1,1.0
tt__globalsoftwarepublishing,cid__0_manufacturer,1.0,1
idx__59,tn__30,1,1
tn__30,cid__0_price,1,1
idx__59,tt__studyworks_teaching_pro_middle_school_math_science_winmac,1,1.0
tt__studyworks_teaching_pro_middle_school_math_science_winmac,cid__0_title,1.0,1
idx__60,tt__ibm,1,1.0
tt__ibm,cid__0_manufacturer,1.0,1
idx__60,tt__trudy_s_time_and_place_house_ages_36,1,1.0
tt__trudy_s_time_and_place_house_ages_36,cid__0_title,1.0,1
idx__61,tt__smithmicrosoftware,1,1.0
tt__smithmicrosoftware,cid__0_manufacturer,1.0,1
idx__61,tn__30,1,1
tn__30,cid__0_price,1,1
idx__61,tt__personal_image_manager,1,1.0
tt__personal_image_manager,cid__0_title,1.0,1
idx__62,tt__stomp_inc,1,1.0
tt__stomp_inc,cid__0_manufacturer,1.0,1
idx__62,tt__stomp_inc_drive_washer,1,1.0
tt__stomp_inc_drive_washer,cid__0_title,1.0,1
idx__63,tt__xoom,1,1.0
tt__xoom,cid__0_manufacturer,1.0,1
idx__63,tt__movies_on_psp,1,1.0
tt__movies_on_psp,cid__0_title,1.0,1
idx__64,tt__topics_entertainment,1,1.0
tt__topics_entertainment,cid__0_manufacturer,1.0,1
idx__64,tn__20,1,1
tn__20,cid__0_price,1,1
idx__64,tt__kids_power_fun_for_kids,1,1.0
tt__kids_power_fun_for_kids,cid__0_title,1.0,1
idx__65,tt__sierra_online,1,1.0
tt__sierra_online,cid__0_manufacturer,1.0,1
idx__65,tt__custom_landdesigner_3d_design_70,1,1.0
tt__custom_landdesigner_3d_design_70,cid__0_title,1.0,1
idx__66,tt__humongous_entertainment,1,1.0
tt__humongous_entertainment,cid__0_manufacturer,1.0,1
idx__66,tn__30,1,1
tn__30,cid__0_price,1,1
idx__66,tt__freddi_fish_2_the_haunted_schoolhouse,1,1.0
tt__freddi_fish_2_the_haunted_schoolhouse,cid__0_title,1.0,1
idx__67,tt__netgear,1,1.0
tt__netgear,cid__0_manufacturer,1.0,1
idx__67,tn__90,1,1
tn__90,cid__0_price,1,1
idx__67,tt__netgear_vpn01l_vpn_client_software,1,1.0
tt__netgear_vpn01l_vpn_client_software,cid__0_title,1.0,1
idx__68,tt__microsoft,1,1.0
tt__microsoft,cid__0_manufacturer,1.0,1
idx__68,tt__mom_standard_ops_mgmt_lic_2005_english_mlp_5_oml,1,1.0
tt__mom_standard_ops_mgmt_lic_2005_english_mlp_5_oml,cid__0_title,1.0,1
idx__69,tt__eastwest,1,1.0
tt__eastwest,cid__0_manufacturer,1.0,1
idx__69,tn__200,1,1
tn__200,cid__0_price,1,1
idx__69,tt__eastwest_bsendorfer_290_grand_piano_virtual_instrument,1,1.0
tt__eastwest_bsendorfer_290_grand_piano_virtual_instrument,cid__0_title,1.0,1
idx__70,tt__diskeeper_corporation,1,1.0
tt__diskeeper_corporation,cid__0_manufacturer,1.0,1
idx__70,tn__200,1,1
tn__200,cid__0_price,1,1
idx__70,tt__diskeepeer_2007_admin_upgrade_sngl_lic_pack,1,1.0
tt__diskeepeer_2007_admin_upgrade_sngl_lic_pack,cid__0_title,1.0,1
idx__71,tt__datawatch,1,1.0
tt__datawatch,cid__0_manufacturer,1.0,1
idx__71,tn__699,1,1
tn__699,cid__0_price,1,1
idx__71,tt__monarch_v9_0_1u,1,1.0
tt__monarch_v9_0_1u,cid__0_title,1.0,1
idx__72,tt__encore_software,1,1.0
tt__encore_software,cid__0_manufacturer,1.0,1
idx__72,tn__10,1,1
tn__10,cid__0_price,1,1
idx__72,tt__midway_arcade_treasures_jewel_case,1,1.0
tt__midway_arcade_treasures_jewel_case,cid__0_title,1.0,1
idx__73,tt__topics_entertainment,1,1.0
tt__topics_entertainment,cid__0_manufacturer,1.0,1
idx__73,tn__5,1,1
tn__5,cid__0_price,1,1
idx__73,tt__snap_10_000_drink_recipies_jewel_case,1,1.0
tt__snap_10_000_drink_recipies_jewel_case,cid__0_title,1.0,1
idx__74,tt__apple,1,1.0
tt__apple,cid__0_manufacturer,1.0,1
idx__74,tn__499,1,1
tn__499,cid__0_price,1,1
idx__74,tt__mac_os_x_server_v10_47_10client,1,1.0
tt__mac_os_x_server_v10_47_10client,cid__0_title,1.0,1
idx__75,tt__epson,1,1.0
tt__epson,cid__0_manufacturer,1.0,1
idx__75,tn__30,1,1
tn__30,cid__0_price,1,1
idx__75,tt__epson_storyteller_photo_book_creator_8_x_10_20_pages,1,1.0
tt__epson_storyteller_photo_book_creator_8_x_10_20_pages,cid__0_title,1.0,1
idx__76,tt__adobe,1,1.0
tt__adobe,cid__0_manufacturer,1.0,1
idx__76,tn__300,1,1
tn__300,cid__0_price,1,1
idx__76,tt__adobe_acrobat_capture_30_22101258,1,1.0
tt__adobe_acrobat_capture_30_22101258,cid__0_title,1.0,1
idx__77,tt__macsoft,1,1.0
tt__macsoft,cid__0_manufacturer,1.0,1
idx__77,tn__20,1,1
tn__20,cid__0_price,1,1
idx__77,tt__age_of_mythology_mac,1,1.0
tt__age_of_mythology_mac,cid__0_title,1.0,1
idx__78,tt__emedia,1,1.0
tt__emedia,cid__0_manufacturer,1.0,1
idx__78,tn__60,1,1
tn__60,cid__0_price,1,1
idx__78,tt__emedia_intermediate_guitar_method_os_x,1,1.0
tt__emedia_intermediate_guitar_method_os_x,cid__0_title,1.0,1
idx__79,tt__computer_associates,1,1.0
tt__computer_associates,cid__0_manufacturer,1.0,1
idx__79,tn__70,1,1
tn__70,cid__0_price,1,1
idx__79,tt__ca_internet_security_suite_2007_3_user,1,1.0
tt__ca_internet_security_suite_2007_3_user,cid__0_title,1.0,1
idx__80,tt__topics_entertainment,1,1.0
tt__topics_entertainment,cid__0_manufacturer,1.0,1
idx__80,tn__10,1,1
tn__10,cid__0_price,1,1
idx__80,tt__kaplan_satactpsat_express,1,1.0
tt__kaplan_satactpsat_express,cid__0_title,1.0,1
idx__81,tt__dataviz,1,1.0
tt__dataviz,cid__0_manufacturer,1.0,1
idx__81,tn__30,1,1
tn__30,cid__0_price,1,1
idx__81,tt__passwords_plus_10,1,1.0
tt__passwords_plus_10,cid__0_title,1.0,1
idx__82,tt__emedia,1,1.0
tt__emedia,cid__0_manufacturer,1.0,1
idx__82,tn__20,1,1
tn__20,cid__0_price,1,1
idx__82,tt__emedia_essential_bass_guitar,1,1.0
tt__emedia_essential_bass_guitar,cid__0_title,1.0,1
idx__83,tt__got_game,1,1.0
tt__got_game,cid__0_manufacturer,1.0,1
idx__83,tn__20,1,1
tn__20,cid__0_price,1,1
idx__83,tt__scratches_directors_cut,1,1.0
tt__scratches_directors_cut,cid__0_title,1.0,1
idx__84,tt__csdc,1,1.0
tt__csdc,cid__0_manufacturer,1.0,1
idx__84,tn__40,1,1
tn__40,cid__0_price,1,1
idx__84,tt__x3_reunion_virtual_programming_ltd,1,1.0
tt__x3_reunion_virtual_programming_ltd,cid__0_title,1.0,1
idx__85,tt__write_brothers,1,1.0
tt__write_brothers,cid__0_manufacturer,1.0,1
idx__85,tn__270,1,1
tn__270,cid__0_price,1,1
idx__85,tt__write_brothers_dramatica_pro_winmac,1,1.0
tt__write_brothers_dramatica_pro_winmac,cid__0_title,1.0,1
idx__86,tt__emedia,1,1.0
tt__emedia,cid__0_manufacturer,1.0,1
idx__86,tn__60,1,1
tn__60,cid__0_price,1,1
idx__86,tt__emedia_bass_method_winmac,1,1.0
tt__emedia_bass_method_winmac,cid__0_title,1.0,1
idx__87,tt__microsoft_licenses,1,1.0
tt__microsoft_licenses,cid__0_manufacturer,1.0,1
idx__87,tn__3601,1,1
tn__3601,cid__0_price,1,1
idx__87,tt__microsoft_licenses_project_svr_sa_govt_h2200301,1,1.0
tt__microsoft_licenses_project_svr_sa_govt_h2200301,cid__0_title,1.0,1
idx__88,tt__total_training,1,1.0
tt__total_training,cid__0_manufacturer,1.0,1
idx__88,tn__300,1,1
tn__300,cid__0_price,1,1
idx__88,tt__total_training_for_adobe_creative_suite_3_design_premium_bundle,1,1.0
tt__total_training_for_adobe_creative_suite_3_design_premium_bundle,cid__0_title,1.0,1
idx__89,tt__sonycreativesoftware,1,1.0
tt__sonycreativesoftware,cid__0_manufacturer,1.0,1
idx__89,tn__20,1,1
tn__20,cid__0_price,1,1
idx__89,tt__everquest_titanium,1,1.0
tt__everquest_titanium,cid__0_title,1.0,1
idx__90,tt__dantz,1,1.0
tt__dantz,cid__0_manufacturer,1.0,1
idx__90,tt__emc_retrospect_75_professional_for_windows_upgrade,1,1.0
tt__emc_retrospect_75_professional_for_windows_upgrade,cid__0_title,1.0,1
idx__91,tt__iris,1,1.0
tt__iris,cid__0_manufacturer,1.0,1
idx__91,tn__200,1,1
tn__200,cid__0_price,1,1
idx__91,tt__iriscard_pro_business_card_scanner,1,1.0
tt__iriscard_pro_business_card_scanner,cid__0_title,1.0,1
idx__92,tt__absolute_software,1,1.0
tt__absolute_software,cid__0_manufacturer,1.0,1
idx__92,tn__120,1,1
tn__120,cid__0_price,1,1
idx__92,tt__computrace_lojack_for_laptops_4_year_subscription,1,1.0
tt__computrace_lojack_for_laptops_4_year_subscription,cid__0_title,1.0,1
idx__93,tt__microsoft,1,1.0
tt__microsoft,cid__0_manufacturer,1.0,1
idx__93,tn__160,1,1
tn__160,cid__0_price,1,1
idx__93,tt__microsoft_office_frontpage_2003_academic_version_windows,1,1.0
tt__microsoft_office_frontpage_2003_academic_version_windows,cid__0_title,1.0,1
idx__94,tt__redorbentertainment,1,1.0
tt__redorbentertainment,cid__0_manufacturer,1.0,1
idx__94,tt__warlords_3_jewel_case,1,1.0
tt__warlords_3_jewel_case,cid__0_title,1.0,1
idx__95,tt__autodesk_psg,1,1.0
tt__autodesk_psg,cid__0_manufacturer,1.0,1
idx__95,tn__48,1,1
tn__48,cid__0_price,1,1
idx__95,tt__autocad_2007_courseware_customizing_the_interface,1,1.0
tt__autocad_2007_courseware_customizing_the_interface,cid__0_title,1.0,1
idx__96,tt__sonicwall,1,1.0
tt__sonicwall,cid__0_manufacturer,1.0,1
idx__96,tt__sonicwall_internet_upgrade_50node,1,1.0
tt__sonicwall_internet_upgrade_50node,cid__0_title,1.0,1
idx__97,tt__eagle_games,1,1.0
tt__eagle_games,cid__0_manufacturer,1.0,1
idx__97,tn__21,1,1
tn__21,cid__0_price,1,1
idx__97,tt__tournament_poker_2005,1,1.0
tt__tournament_poker_2005,cid__0_title,1.0,1
idx__98,tt__encore_software,1,1.0
tt__encore_software,cid__0_manufacturer,1.0,1
idx__98,tn__20,1,1
tn__20,cid__0_price,1,1
idx__98,tt__cold_zero_no_mercy,1,1.0
tt__cold_zero_no_mercy,cid__0_title,1.0,1
idx__99,tt__sosaggregationcompany,1,1.0
tt__sosaggregationcompany,cid__0_manufacturer,1.0,1
idx__99,tn__40,1,1
tn__40,cid__0_price,1,1
idx__99,tt__listen_for_ipod_magnetic_time,1,1.0
tt__listen_for_ipod_magnetic_time,cid__0_title,1.0,1
idx__100,tt__nuance_communications_inc,1,1.0
tt__nuance_communications_inc,cid__0_manufacturer,1.0,1
idx__100,tt__textbridge_pro_11_5u_license_xp,1,1.0
tt__textbridge_pro_11_5u_license_xp,cid__0_title,1.0,1
idx__101,tt__macsoft,1,1.0
tt__macsoft,cid__0_manufacturer,1.0,1
idx__101,tn__20,1,1
tn__20,cid__0_price,1,1
idx__101,tt__atari_arcade_classics_mac,1,1.0
tt__atari_arcade_classics_mac,cid__0_title,1.0,1
idx__102,tt__avanquest_software,1,1.0
tt__avanquest_software,cid__0_manufacturer,1.0,1
idx__102,tn__40,1,1
tn__40,cid__0_price,1,1
idx__102,tt__myinvoices_estimates_deluxe,1,1.0
tt__myinvoices_estimates_deluxe,cid__0_title,1.0,1
idx__103,tt__viva_media,1,1.0
tt__viva_media,cid__0_manufacturer,1.0,1
idx__103,tn__20,1,1
