3#__tn,3$__tt,5$__idx,1$__cid
idx__8,tt__great_lakes_nosferatu,1,1.0
tt__great_lakes_nosferatu,cid__0_beer_name,1.0,1
idx__8,tt__great_lakes_brewing_co,1,1.0
tt__great_lakes_brewing_co,cid__0_brew_factory_name,1.0,1
idx__8,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__9,tn__7,1,1
tn__7,cid__0_abv,1,1
idx__9,tt__lagunitas_imperial_red_ale,1,1.0
tt__lagunitas_imperial_red_ale,cid__0_beer_name,1.0,1
idx__9,tt__lagunitas_brewing_company,1,1.0
tt__lagunitas_brewing_company,cid__0_brew_factory_name,1.0,1
idx__9,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__10,tn__7,1,1
tn__7,cid__0_abv,1,1
idx__10,tt__zoe,1,1.0
tt__zoe,cid__0_beer_name,1.0,1
idx__10,tt__maine_beer_company,1,1.0
tt__maine_beer_company,cid__0_brew_factory_name,1.0,1
idx__10,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__11,tn__5,1,1.0
tn__5,cid__0_abv,1.0,1
idx__11,tt__santa_s_private_reserve_ale,1,1.0
tt__santa_s_private_reserve_ale,cid__0_beer_name,1.0,1
idx__11,tt__rogue_ales,1,1.0
tt__rogue_ales,cid__0_brew_factory_name,1.0,1
idx__11,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__12,tn__8,1,1
tn__8,cid__0_abv,1,1
idx__12,tt__lagunitas_lucky_13_mondo_large_red_ale,1,1.0
tt__lagunitas_lucky_13_mondo_large_red_ale,cid__0_beer_name,1.0,1
idx__12,tt__lagunitas_brewing_company,1,1.0
tt__lagunitas_brewing_company,cid__0_brew_factory_name,1.0,1
idx__12,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__13,tn__5,1,1.0
tn__5,cid__0_abv,1.0,1
idx__13,tt__ruedrich_s_red_seal_ale,1,1.0
tt__ruedrich_s_red_seal_ale,cid__0_beer_name,1.0,1
idx__13,tt__north_coast_brewing_co,1,1.0
tt__north_coast_brewing_co,cid__0_brew_factory_name,1.0,1
idx__13,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__14,tn__5,1,1.0
tn__5,cid__0_abv,1.0,1
idx__14,tt__boont_amber_ale,1,1.0
tt__boont_amber_ale,cid__0_beer_name,1.0,1
idx__14,tt__anderson_valley_brewing_company,1,1.0
tt__anderson_valley_brewing_company,cid__0_brew_factory_name,1.0,1
idx__14,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__15,tn__5,1,1.0
tn__5,cid__0_abv,1.0,1
idx__15,tt__american_amber_ale,1,1.0
tt__american_amber_ale,cid__0_beer_name,1.0,1
idx__15,tt__rogue_ales,1,1.0
tt__rogue_ales,cid__0_brew_factory_name,1.0,1
idx__15,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__16,tn__5,1,1.0
tn__5,cid__0_abv,1.0,1
idx__16,tt__highland_gaelic_ale,1,1.0
tt__highland_gaelic_ale,cid__0_beer_name,1.0,1
idx__16,tt__highland_brewing,1,1.0
tt__highland_brewing,cid__0_brew_factory_name,1.0,1
idx__16,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__17,tn__7,1,1
tn__7,cid__0_abv,1,1
idx__17,tt__tocobaga_red_ale,1,1.0
tt__tocobaga_red_ale,cid__0_beer_name,1.0,1
idx__17,tt__cigar_city_brewing,1,1.0
tt__cigar_city_brewing,cid__0_brew_factory_name,1.0,1
idx__17,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__18,tn__5,1,1.0
tn__5,cid__0_abv,1.0,1
idx__18,tt__calico_copper_amber_ale,1,1.0
tt__calico_copper_amber_ale,cid__0_beer_name,1.0,1
idx__18,tt__ballast_point_brewing_company,1,1.0
tt__ballast_point_brewing_company,cid__0_brew_factory_name,1.0,1
idx__18,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__19,tn__4,1,1
tn__4,cid__0_abv,1,1
idx__19,tt__avalanche_ale,1,1.0
tt__avalanche_ale,cid__0_beer_name,1.0,1
idx__19,tt__breckenridge_brewery,1,1.0
tt__breckenridge_brewery,cid__0_brew_factory_name,1.0,1
idx__19,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__20,tn__7,1,1
tn__7,cid__0_abv,1,1
idx__20,tt__cascazilla,1,1.0
tt__cascazilla,cid__0_beer_name,1.0,1
idx__20,tt__ithaca_beer_company,1,1.0
tt__ithaca_beer_company,cid__0_brew_factory_name,1.0,1
idx__20,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__21,tn__5,1,1.0
tn__5,cid__0_abv,1.0,1
idx__21,tt__full_sail_amber,1,1.0
tt__full_sail_amber,cid__0_beer_name,1.0,1
idx__21,tt__full_sail_brewery_tasting_room_pub,1,1.0
tt__full_sail_brewery_tasting_room_pub,cid__0_brew_factory_name,1.0,1
idx__21,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__22,tn__5,1,1.0
tn__5,cid__0_abv,1.0,1
idx__22,tt__st_rogue_red,1,1.0
tt__st_rogue_red,cid__0_beer_name,1.0,1
idx__22,tt__rogue_ales,1,1.0
tt__rogue_ales,cid__0_brew_factory_name,1.0,1
idx__22,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__23,tn__6,1,1
tn__6,cid__0_abv,1,1
idx__23,tt__red_tail_ale,1,1.0
tt__red_tail_ale,cid__0_beer_name,1.0,1
idx__23,tt__mendocino_brewing_company,1,1.0
tt__mendocino_brewing_company,cid__0_brew_factory_name,1.0,1
idx__23,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__24,tn__6,1,1
tn__6,cid__0_abv,1,1
idx__24,tt__prohibition_ale,1,1.0
tt__prohibition_ale,cid__0_beer_name,1.0,1
idx__24,tt__speakeasy_ales_lagers,1,1.0
tt__speakeasy_ales_lagers,cid__0_brew_factory_name,1.0,1
idx__24,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__25,tn__7,1,1
tn__7,cid__0_abv,1,1
idx__25,tt__global_warmer,1,1.0
tt__global_warmer,cid__0_beer_name,1.0,1
idx__25,tt__sixpoint_brewery,1,1.0
tt__sixpoint_brewery,cid__0_brew_factory_name,1.0,1
idx__25,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__26,tn__6,1,1
tn__6,cid__0_abv,1,1
idx__26,tt__blazing_world,1,1.0
tt__blazing_world,cid__0_beer_name,1.0,1
idx__26,tt__modern_times_beer,1,1.0
tt__modern_times_beer,cid__0_brew_factory_name,1.0,1
idx__26,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__27,tn__7,1,1
tn__7,cid__0_abv,1,1
idx__27,tt__red_wheelbarrow,1,1.0
tt__red_wheelbarrow,cid__0_beer_name,1.0,1
idx__27,tt__maine_beer_company,1,1.0
tt__maine_beer_company,cid__0_brew_factory_name,1.0,1
idx__27,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__28,tn__6,1,1
tn__6,cid__0_abv,1,1
idx__28,tt__anchor_bigleaf_maple_autumn_red,1,1.0
tt__anchor_bigleaf_maple_autumn_red,cid__0_beer_name,1.0,1
idx__28,tt__anchor_brewing_company,1,1.0
tt__anchor_brewing_company,cid__0_brew_factory_name,1.0,1
idx__28,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__29,tn__10,1,1
tn__10,cid__0_abv,1,1
idx__29,tt__tongue_buckler_imperial_red_ale,1,1.0
tt__tongue_buckler_imperial_red_ale,cid__0_beer_name,1.0,1
idx__29,tt__ballast_point_brewing_company,1,1.0
tt__ballast_point_brewing_company,cid__0_brew_factory_name,1.0,1
idx__29,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__30,tn__6,1,1
tn__6,cid__0_abv,1,1
idx__30,tt__red_hoptober,1,1.0
tt__red_hoptober,cid__0_beer_name,1.0,1
idx__30,tt__new_belgium_brewing,1,1.0
tt__new_belgium_brewing,cid__0_brew_factory_name,1.0,1
idx__30,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__31,tn__6,1,1
tn__6,cid__0_abv,1,1
idx__31,tt__captain_sig_s_northwestern_ale,1,1.0
tt__captain_sig_s_northwestern_ale,cid__0_beer_name,1.0,1
idx__31,tt__rogue_ales,1,1.0
tt__rogue_ales,cid__0_brew_factory_name,1.0,1
idx__31,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__32,tn__5,1,1.0
tn__5,cid__0_abv,1.0,1
idx__32,tt__five_am,1,1.0
tt__five_am,cid__0_beer_name,1.0,1
idx__32,tt__brewdog,1,1.0
tt__brewdog,cid__0_brew_factory_name,1.0,1
idx__32,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__33,tn__8,1,1
tn__8,cid__0_abv,1,1
idx__33,tt__yulesmith_winter,1,1.0
tt__yulesmith_winter,cid__0_beer_name,1.0,1
idx__33,tt__alesmith_brewing_company,1,1.0
tt__alesmith_brewing_company,cid__0_brew_factory_name,1.0,1
idx__33,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__34,tn__9,1,1
tn__9,cid__0_abv,1,1
idx__34,tt__shark_attack_double_red_ale,1,1.0
tt__shark_attack_double_red_ale,cid__0_beer_name,1.0,1
idx__34,tt__port_brewing,1,1.0
tt__port_brewing,cid__0_brew_factory_name,1.0,1
idx__34,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__35,tn__5,1,1.0
tn__5,cid__0_abv,1.0,1
idx__35,tt__switchback_ale,1,1.0
tt__switchback_ale,cid__0_beer_name,1.0,1
idx__35,tt__switchback_brewing_company,1,1.0
tt__switchback_brewing_company,cid__0_brew_factory_name,1.0,1
idx__35,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__36,tn__6,1,1
tn__6,cid__0_abv,1,1
idx__36,tt__runoff_red_ipa,1,1.0
tt__runoff_red_ipa,cid__0_beer_name,1.0,1
idx__36,tt__odell_brewing_company,1,1.0
tt__odell_brewing_company,cid__0_brew_factory_name,1.0,1
idx__36,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__37,tn__5,1,1.0
tn__5,cid__0_abv,1.0,1
idx__37,tt__red_nectar,1,1.0
tt__red_nectar,cid__0_beer_name,1.0,1
idx__37,tt__humboldt_brewing_co,1,1.0
tt__humboldt_brewing_co,cid__0_brew_factory_name,1.0,1
idx__37,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__38,tn__6,1,1
tn__6,cid__0_abv,1,1
idx__38,tt__ambergeddon,1,1.0
tt__ambergeddon,cid__0_beer_name,1.0,1
idx__38,tt__ale_asylum,1,1.0
tt__ale_asylum,cid__0_brew_factory_name,1.0,1
idx__38,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__39,tn__10,1,1
tn__10,cid__0_abv,1,1
idx__39,tt__terrapin_oaked_big_hoppy_monster,1,1.0
tt__terrapin_oaked_big_hoppy_monster,cid__0_beer_name,1.0,1
idx__39,tt__terrapin_beer_company,1,1.0
tt__terrapin_beer_company,cid__0_brew_factory_name,1.0,1
idx__39,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__40,tn__5,1,1.0
tn__5,cid__0_abv,1.0,1
idx__40,tt__autumnfest,1,1.0
tt__autumnfest,cid__0_beer_name,1.0,1
idx__40,tt__weyerbacher_brewing_co,1,1.0
tt__weyerbacher_brewing_co,cid__0_brew_factory_name,1.0,1
idx__40,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__41,tn__6,1,1
tn__6,cid__0_abv,1,1
idx__41,tt__alesmith_my_bloody_valentine,1,1.0
tt__alesmith_my_bloody_valentine,cid__0_beer_name,1.0,1
idx__41,tt__alesmith_brewing_company,1,1.0
tt__alesmith_brewing_company,cid__0_brew_factory_name,1.0,1
idx__41,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__42,tn__7,1,1
tn__7,cid__0_abv,1,1
idx__42,tt__kingpin_double_red_ale,1,1.0
tt__kingpin_double_red_ale,cid__0_beer_name,1.0,1
idx__42,tt__bridgeport_brewing_co_brewpub,1,1.0
tt__bridgeport_brewing_co_brewpub,cid__0_brew_factory_name,1.0,1
idx__42,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__43,tn__6,1,1
tn__6,cid__0_abv,1,1
idx__43,tt__loakal_red,1,1.0
tt__loakal_red,cid__0_beer_name,1.0,1
idx__43,tt__the_bruery,1,1.0
tt__the_bruery,cid__0_brew_factory_name,1.0,1
idx__43,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__44,tn__8,1,1
tn__8,cid__0_abv,1,1
idx__44,tt__redoric_beer_camp_65_best_of_beer_camp_imperial_red_ale,1,1.0
tt__redoric_beer_camp_65_best_of_beer_camp_imperial_red_ale,cid__0_beer_name,1.0,1
idx__44,tt__sierra_nevada_brewing_co,1,1.0
tt__sierra_nevada_brewing_co,cid__0_brew_factory_name,1.0,1
idx__44,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__45,tn__5,1,1.0
tn__5,cid__0_abv,1.0,1
idx__45,tt__redhook_copperhook,1,1.0
tt__redhook_copperhook,cid__0_beer_name,1.0,1
idx__45,tt__redhook_ale_brewery,1,1.0
tt__redhook_ale_brewery,cid__0_brew_factory_name,1.0,1
idx__45,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__46,tn__5,1,1.0
tn__5,cid__0_abv,1.0,1
idx__46,tt__duckrabbit_amber_ale,1,1.0
tt__duckrabbit_amber_ale,cid__0_beer_name,1.0,1
idx__46,tt__the_duckrabbit_craft_brewery,1,1.0
tt__the_duckrabbit_craft_brewery,cid__0_brew_factory_name,1.0,1
idx__46,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__47,tn__5,1,1.0
tn__5,cid__0_abv,1.0,1
idx__47,tt__samuel_adams_mighty_oak_ale,1,1.0
tt__samuel_adams_mighty_oak_ale,cid__0_beer_name,1.0,1
idx__47,tt__boston_beer_company_samuel_adams,1,1.0
tt__boston_beer_company_samuel_adams,cid__0_brew_factory_name,1.0,1
idx__47,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__48,tn__6,1,1
tn__6,cid__0_abv,1,1
idx__48,tt__believer,1,1.0
tt__believer,cid__0_beer_name,1.0,1
idx__48,tt__ninkasi_brewing_company,1,1.0
tt__ninkasi_brewing_company,cid__0_brew_factory_name,1.0,1
idx__48,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__49,tn__5,1,1.0
tn__5,cid__0_abv,1.0,1
idx__49,tt__mermaid_s_red_ale,1,1.0
tt__mermaid_s_red_ale,cid__0_beer_name,1.0,1
idx__49,tt__coronado_brewing_company,1,1.0
tt__coronado_brewing_company,cid__0_brew_factory_name,1.0,1
idx__49,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__50,tn__6,1,1
tn__6,cid__0_abv,1,1
idx__50,tt__jamaica_red_ale,1,1.0
tt__jamaica_red_ale,cid__0_beer_name,1.0,1
idx__50,tt__mad_river_brewing_company,1,1.0
tt__mad_river_brewing_company,cid__0_brew_factory_name,1.0,1
idx__50,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__51,tn__6,1,1
tn__6,cid__0_abv,1,1
idx__51,tt__fistmas,1,1.0
tt__fistmas,cid__0_beer_name,1.0,1
idx__51,tt__revolution_brewing_company,1,1.0
tt__revolution_brewing_company,cid__0_brew_factory_name,1.0,1
idx__51,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__52,tn__5,1,1.0
tn__5,cid__0_abv,1.0,1
idx__52,tt__saint_arnold_amber_ale,1,1.0
tt__saint_arnold_amber_ale,cid__0_beer_name,1.0,1
idx__52,tt__saint_arnold_brewing_company,1,1.0
tt__saint_arnold_brewing_company,cid__0_brew_factory_name,1.0,1
idx__52,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__53,tn__8,1,1
tn__8,cid__0_abv,1,1
idx__53,tt__pursuit_of_hoppiness,1,1.0
tt__pursuit_of_hoppiness,cid__0_beer_name,1.0,1
idx__53,tt__grand_teton_brewing_co,1,1.0
tt__grand_teton_brewing_co,cid__0_brew_factory_name,1.0,1
idx__53,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__54,tn__7,1,1
tn__7,cid__0_abv,1,1
idx__54,tt__mourning_wood,1,1.0
tt__mourning_wood,cid__0_beer_name,1.0,1
idx__54,tt__local_option,1,1.0
tt__local_option,cid__0_brew_factory_name,1.0,1
idx__54,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__55,tn__5,1,1.0
tn__5,cid__0_abv,1.0,1
idx__55,tt__blue_moon_valencia_amber_ale,1,1.0
tt__blue_moon_valencia_amber_ale,cid__0_beer_name,1.0,1
idx__55,tt__coors_brewing_company,1,1.0
tt__coors_brewing_company,cid__0_brew_factory_name,1.0,1
idx__55,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__56,tn__5,1,1.0
tn__5,cid__0_abv,1.0,1
idx__56,tt__snowshoe_red_ale,1,1.0
tt__snowshoe_red_ale,cid__0_beer_name,1.0,1
idx__56,tt__new_glarus_brewing_company,1,1.0
tt__new_glarus_brewing_company,cid__0_brew_factory_name,1.0,1
idx__56,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__57,tn__6,1,1
tn__6,cid__0_abv,1,1
idx__57,tt__blood_of_the_unicorn,1,1.0
tt__blood_of_the_unicorn,cid__0_beer_name,1.0,1
idx__57,tt__pipeworks_brewing_company,1,1.0
tt__pipeworks_brewing_company,cid__0_brew_factory_name,1.0,1
idx__57,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__58,tn__6,1,1
tn__6,cid__0_abv,1,1
idx__58,tt__alesmith_evil_dead_red,1,1.0
tt__alesmith_evil_dead_red,cid__0_beer_name,1.0,1
idx__58,tt__alesmith_brewing_company,1,1.0
tt__alesmith_brewing_company,cid__0_brew_factory_name,1.0,1
idx__58,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__59,tn__5,1,1.0
tn__5,cid__0_abv,1.0,1
idx__59,tt__new_holland_sundog_amber_ale,1,1.0
tt__new_holland_sundog_amber_ale,cid__0_beer_name,1.0,1
idx__59,tt__new_holland_brewing_company,1,1.0
tt__new_holland_brewing_company,cid__0_brew_factory_name,1.0,1
idx__59,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__60,tn__5,1,1.0
tn__5,cid__0_abv,1.0,1
idx__60,tt__cinder_cone_red,1,1.0
tt__cinder_cone_red,cid__0_beer_name,1.0,1
idx__60,tt__deschutes_brewery,1,1.0
tt__deschutes_brewery,cid__0_brew_factory_name,1.0,1
idx__60,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__61,tn__5,1,1.0
tn__5,cid__0_abv,1.0,1
idx__61,tt__dark_horse_amber_ale,1,1.0
tt__dark_horse_amber_ale,cid__0_beer_name,1.0,1
idx__61,tt__dark_horse_brewing_company,1,1.0
tt__dark_horse_brewing_company,cid__0_brew_factory_name,1.0,1
idx__61,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__62,tn__5,1,1.0
tn__5,cid__0_abv,1.0,1
idx__62,tt__laughing_skull_amber_ale,1,1.0
tt__laughing_skull_amber_ale,cid__0_beer_name,1.0,1
idx__62,tt__red_brick_brewing_company,1,1.0
tt__red_brick_brewing_company,cid__0_brew_factory_name,1.0,1
idx__62,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__63,tn__5,1,1.0
tn__5,cid__0_abv,1.0,1
idx__63,tt__drop_top_amber,1,1.0
tt__drop_top_amber,cid__0_beer_name,1.0,1
idx__63,tt__widmer_brothers_brewing_company,1,1.0
tt__widmer_brothers_brewing_company,cid__0_brew_factory_name,1.0,1
idx__63,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__64,tn__5,1,1.0
tn__5,cid__0_abv,1.0,1
idx__64,tt__hoppus_maximus,1,1.0
tt__hoppus_maximus,cid__0_beer_name,1.0,1
idx__64,tt__thirsty_dog_brewing_company,1,1.0
tt__thirsty_dog_brewing_company,cid__0_brew_factory_name,1.0,1
idx__64,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__65,tn__8,1,1
tn__8,cid__0_abv,1,1
idx__65,tt__fascist_pig_ale,1,1.0
tt__fascist_pig_ale,cid__0_beer_name,1.0,1
idx__65,tt__finch_s_beer_co,1,1.0
tt__finch_s_beer_co,cid__0_brew_factory_name,1.0,1
idx__65,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__66,tn__8,1,1
tn__8,cid__0_abv,1,1
idx__66,tt__blood_shot_beer_camp_95,1,1.0
tt__blood_shot_beer_camp_95,cid__0_beer_name,1.0,1
idx__66,tt__sierra_nevada_brewing_co,1,1.0
tt__sierra_nevada_brewing_co,cid__0_brew_factory_name,1.0,1
idx__66,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__67,tn__7,1,1
tn__7,cid__0_abv,1,1
idx__67,tt__evil_twin_hop_flood,1,1.0
tt__evil_twin_hop_flood,cid__0_beer_name,1.0,1
idx__67,tt__evil_twin_brewing,1,1.0
tt__evil_twin_brewing,cid__0_brew_factory_name,1.0,1
idx__67,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__68,tn__4,1,1
tn__4,cid__0_abv,1,1
idx__68,tt__key_west_sunset_ale,1,1.0
tt__key_west_sunset_ale,cid__0_beer_name,1.0,1
idx__68,tt__florida_beer_company,1,1.0
tt__florida_beer_company,cid__0_brew_factory_name,1.0,1
idx__68,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__69,tn__5,1,1.0
tn__5,cid__0_abv,1.0,1
idx__69,tt__alleycat_amber,1,1.0
tt__alleycat_amber,cid__0_beer_name,1.0,1
idx__69,tt__lost_coast_brewery_and_cafe,1,1.0
tt__lost_coast_brewery_and_cafe,cid__0_brew_factory_name,1.0,1
idx__69,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__70,tn__5,1,1.0
tn__5,cid__0_abv,1.0,1
idx__70,tt__african_amber,1,1.0
tt__african_amber,cid__0_beer_name,1.0,1
idx__70,tt__mac_and_jack_s_brewery,1,1.0
tt__mac_and_jack_s_brewery,cid__0_brew_factory_name,1.0,1
idx__70,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__71,tn__5,1,1.0
tn__5,cid__0_abv,1.0,1
idx__71,tt__odell_levity_amber_ale,1,1.0
tt__odell_levity_amber_ale,cid__0_beer_name,1.0,1
