author_1,author_2,author_3,author_4,title,venue,year
reinhard_braumandl,alfons_kemper,donald_kossmann,nan,database_patchwork_on_the_internet,international_conference_on_management_of_data,1999
ouri_wolfson,prasad_sistla,bo_xu,jutai_zhou,domino_databases_for_moving_objects_tracking,international_conference_on_management_of_data,1999
lyman_do,prabhu_ram,pamela_drew,nan,the_need_for_distributed_asynchronous_transactions,international_conference_on_management_of_data,1999
thomas_bergstraesser,philip_a_bernstein,shankar_pal,david_shutt,versions_and_workspaces_in_microsoft_repository,international_conference_on_management_of_data,1999
stefano_m_trisolini,maurizio_lenzerini,daniele_nardi,nan,data_integration_and_warehousing_in_telecom_italia,international_conference_on_management_of_data,1999
matthias_jarke,christoph_quix,guido_blees,dirk_lehmann,improving_oltp_data_quality_using_data_warehouse_mechanisms,international_conference_on_management_of_data,1999
e_a_rundensteiner,k_claypool,m_li,l_chen,serf_odmgbased_generic_restructuring_facility,international_conference_on_management_of_data,1999
wensyan_li,quoc_vu,edward_chang,divyakant_agrawal,powerbookmarks_a_system_for_personalizable_web_information_organizatio_sharin_and_management,international_conference_on_management_of_data,1999
swarup_acharya,phillip_b_gibbons,viswanath_poosala,sridhar_ramaswamy,the_aqua_approximate_query_answering_system,international_conference_on_management_of_data,1999
tong_zhou,ling_liu,calton_pu,nan,tam_a_system_for_dynamic_transactional_activity_management,international_conference_on_management_of_data,1999
raymond_ng,laks_v_s_lakshmanan,jiawei_han,teresa_mah,exploratory_mining_via_constrained_frequent_set_queries,international_conference_on_management_of_data,1999
e_a_rundensteiner,a_koeller,x_zhang,a_j_lee,evolvable_view_environment_eve_nonequivalent_view_maintenance_under_schema_changes,international_conference_on_management_of_data,1999
roger_barga,david_b_lomet,nan,nan,phoenix_making_applications_robust,international_conference_on_management_of_data,1999
brad_adelberg,matthew_denny,nan,nan,nodose_version_20,international_conference_on_management_of_data,1999
vishu_krishnamurthy,sandeepan_banerjee,anil_nori,nan,bringing_objectrelational_technology_to_the_mainstream,international_conference_on_management_of_data,1999
paul_brown,nan,nan,nan,implementing_the_spirit_of_sql99,international_conference_on_management_of_data,1999
dan_suciu,nan,nan,nan,managing_web_data,international_conference_on_management_of_data,1999
m_carey,d_chamberlin,d_doole,s_rielau,o_whats_happening_to_db2,international_conference_on_management_of_data,1999
soumen_chakrabarti,nan,nan,nan,hypertext_databases_and_data_mining,international_conference_on_management_of_data,1999
alexander_hinneburg,daniel_a_keim,nan,nan,clustering_methods_for_large_databases_from_the_past_to_the_future,international_conference_on_management_of_data,1999
dirk_d252llmann,nan,nan,nan,petabyte_databases,international_conference_on_management_of_data,1999
c_mohan,nan,nan,nan,a_database_perspective_on_lotus_dominonotes,international_conference_on_management_of_data,1999
bassel_ojjeh,nan,nan,nan,microsoft_site_server_commerce_ed_talkslides_available_at_the_conference,international_conference_on_management_of_data,1999
anand_rajaraman,nan,nan,nan,ecommerce_database_issues_and_experience_talkslides_available_at_at_the_conference,international_conference_on_management_of_data,1999
brad_hammond,nan,nan,nan,merge_replication_in_microsofts_sql_server_70,international_conference_on_management_of_data,1999
corporate_timesten_team,nan,nan,nan,inmemory_data_management_for_consumer_transactions_the_timesten_approach,international_conference_on_management_of_data,1999
walt_kohler,nan,nan,nan,emc_information_sharing_direct_access_to_mvs_data_from_unix_and_nt,international_conference_on_management_of_data,1999
rick_greer,nan,nan,nan,daytona_and_the_foruthgeneration_language_cymbal,international_conference_on_management_of_data,1999
j_baulier,p_bohannon,s_gogate,c_gupta,datablitz_storage_manager_mainmemory_database_performance_for_critical_applications,international_conference_on_management_of_data,1999
k_v_ravi_kanth,siva_ravada,jayant_sharma,jay_banerjee,indexing_mediumdimensionality_data_in_oracle,international_conference_on_management_of_data,1999
alin_deutsch,mary_fernandez,dan_suciu,nan,storing_semistructured_data_with_stored,international_conference_on_management_of_data,1999
daniel_a_keim,nan,nan,nan,efficient_geometrybased_similarity_search_of_3d_spatial_databases,international_conference_on_management_of_data,1999
charu_c_aggarwal,joel_l_wolf,philip_s_yu,nan,a_new_method_for_similarity_indexing_of_market_basket_data,international_conference_on_management_of_data,1999
apostol_natsev,rajeev_rastogi,kyuseok_shim,nan,walrus_a_similarity_retrieval_algorithm_for_image_databases,international_conference_on_management_of_data,1999
wilburt_juan_labio,ramana_yerneni,hector_garciamolina,nan,shrinking_the_warehouse_update_window,international_conference_on_management_of_data,1999
yannis_kotidis,nick_roussopoulos,nan,nan,dynamat_a_dynamic_view_management_system_for_data_warehouses,international_conference_on_management_of_data,1999
kevin_beyer,raghu_ramakrishnan,nan,nan,bottomup_computation_of_sparse_and_iceberg_cube,international_conference_on_management_of_data,1999
tobias_mayr,praveen_seshadri,nan,nan,clientsite_query_extensions,international_conference_on_management_of_data,1999
m_tamer_214zsu,nan,nan,nan,data_management_issues_in_electronic_commerce,international_conference_on_management_of_data,1999
minos_n_garofalakis,sridhar_ramaswamy,rajeev_rastogi,kyuseok_shim,of_crawler_portal_mic_and_men_is_there_more_to_mining_the_web,international_conference_on_management_of_data,1999
praveen_seshadri,nan,nan,nan,hone_i_shrunk_the_database_footprin_mobilit_and_beyond,international_conference_on_management_of_data,1999
hasan_davulcu,juliana_freire,michael_kifer,i_v_ramakrishnan,a_layered_architecture_for_querying_dynamic_web_content,international_conference_on_management_of_data,1999
jamie_callan,margaret_connell,aiqun_du,nan,automatic_discovery_of_language_models_for_text_databases,international_conference_on_management_of_data,1999
d_w_embley,y_jiang,yk_ng,nan,recordboundary_discovery_in_web_documents,international_conference_on_management_of_data,1999
yannis_papakonstantinou,vasilis_vassalos,nan,nan,query_rewriting_for_semistructured_data,international_conference_on_management_of_data,1999
ramana_yerneni,chen_li,hector_garciamolina,jeffrey_ullman,computing_capabilities_of_mediators,international_conference_on_management_of_data,1999
david_b_lomet,nan,nan,nan,high_speed_online_backup_when_using_logical_log_operations,international_conference_on_management_of_data,2000
wilburt_juan_labio,janet_l_wiener,hector_garciamolina,vlad_gorelik,efficient_resumption_of_interrupted_warehouse_loads,international_conference_on_management_of_data,2000
mohana_k_lakhamraju,rajeev_rastogi,s_seshadri,s_sudarshan,online_reorganization_in_object_databases,international_conference_on_management_of_data,2000
charu_c_aggarwal,philip_s_yu,nan,nan,finding_generalized_projected_clusters_in_high_dimensional_spaces,international_conference_on_management_of_data,2000
christopher_r_palmer,christos_faloutsos,nan,nan,density_biased_sampling_an_improved_method_for_data_mining_and_clustering,international_conference_on_management_of_data,2000
markus_m_breunig,hanspeter_kriegel,raymond_t_ng,j246rg_sander,lof_identifying_densitybased_local_outliers,international_conference_on_management_of_data,2000
markos_zaharioudakis,roberta_cochrane,george_lapis,hamid_pirahesh,answering_complex_sql_queries_using_automatic_summary_tables,international_conference_on_management_of_data,2000
junghoo_cho,hector_garciamolina,nan,nan,synchronizing_a_database_to_improve_freshness,international_conference_on_management_of_data,2000
kenneth_salem,kevin_beyer,bruce_lindsay,roberta_cochrane,how_to_roll_a_join_asynchronous_incremental_view_maintenance,international_conference_on_management_of_data,2000
vassilis_christophides,sophie_cluet,j233r466me_sim232on,nan,on_wrapping_query_languages_and_efficient_xml_integration,international_conference_on_management_of_data,2000
hartmut_liefke,dan_suciu,nan,nan,xmill_an_efficient_compressor_for_xml_data,international_conference_on_management_of_data,2000
minos_garofalakis,aristides_gionis,rajeev_rastogi,s_seshadri,xtract_a_system_for_extracting_document_type_descriptors_from_xml_documents,international_conference_on_management_of_data,2000
christos_faloutsos,bernhard_seeger,agma_traina,caetano_traina,spatial_join_selectivity_using_power_laws,international_conference_on_management_of_data,2000
manuel_rodr237guezmart237nez,nick_roussopoulos,nan,nan,mocha_a_selfextensible_database_middleware_system_for_distributed_data_sources,international_conference_on_management_of_data,2000
antonio_corral,yannis_manolopoulos,yannis_theodoridis,michael_vassilakopoulos,closest_pair_queries_in_spatial_databases,international_conference_on_management_of_data,2000
flip_korn,s_muthukrishnan,nan,nan,influence_sets_based_on_reverse_nearest_neighbor_queries,international_conference_on_management_of_data,2000
krishnamurty_muralidhar,rathindra_sarathy,nan,nan,security_of_random_data_perturbation_methods,acm_transactions_on_database_systems_tods,1999
debabrata_dey,veda_c_storey,terence_m_barron,nan,improving_database_design_through_the_analysis_of_relationships,acm_transactions_on_database_systems_tods,1999
tak_w_yan,hector_garciamolina,nan,nan,the_sift_information_dissemination_system,acm_transactions_on_database_systems_tods,1999
yair_wand,veda_c_storey,ron_weber,nan,an_ontological_analysis_of_the_relationship_construct_in_conceptual_modeling,acm_transactions_on_database_systems_tods,1999
andrew_frank,stephane_grumbach,ralf_hartmut_g252ting,christian_s_jensen,chorochronos_a_research_network_for_spatiotemporal_database_systems,acm_sigmod_record,1999
s_conrad,w_hasselbring,u_hohenstein,rd_kutsche,engineering_federated_information_systems_report_of_eefis_99_workshop,acm_sigmod_record,1999
arnon_rosenthal,edward_sciore,nan,nan,firstclass_views_a_key_to_usercentered_computing,acm_sigmod_record,1999
jihad_boulos,kinji_ono,nan,nan,cost_estimation_of_userdefined_methods_in_objectrelational_database_systems,acm_sigmod_record,1999
prabhu_ram,lyman_do,pamela_drew,nan,distributed_transactions_in_practice,acm_sigmod_record,1999
stanley_m_t_yau,hong_va_leong,dennis_mcleod,antonio_si,on_mutliresolution_document_transmission_in_mobile_web,acm_sigmod_record,1999
ruxandra_domenig,klaus_r_dittrich,nan,nan,an_overview_and_classification_of_mediated_query_systems,acm_sigmod_record,1999
mark_papiani,jasmin_l_wason,alistair_n_dunlop,denis_a_nicole,a_distributed_scientific_data_archive_using_the_we_xml_and_sqlmed,acm_sigmod_record,1999
jiawei_han,jian_pei,yiwen_yin,nan,mining_frequent_patterns_without_candidate_generation,international_conference_on_management_of_data,2000
le_gruenwald,leonard_brown,ravi_dirckze,sylvain_guinepain,database_research_at_the_university_of_oklahoma,acm_sigmod_record,1999
pradeep_shenoy,jayant_r_haritsa,s_sundarshan,gaurav_bhalotia,turbocharging_vertical_mining_of_large_databases,international_conference_on_management_of_data,2000
erik_riedel,christos_faloutsos,gregory_r_ganger,david_f_nagle,data_mining_on_an_oltp_system_nearly_for_free,international_conference_on_management_of_data,2000
joseph_kuan,paul_lewis,nan,nan,a_study_on_data_point_search_for_hgtrees,acm_sigmod_record,1999
mark_roantree,john_murphy,wilhelm_hasselbring,nan,the_oasis_multidatabase_prototype,acm_sigmod_record,1999
m225rcio_farias_de_souza,marcus_costa_sampaio,nan,nan,efficient_materialization_and_use_of_views_in_data_warehouses,acm_sigmod_record,1999
stefano_ceri,piero_fraternali,stefano_paraboschi,nan,design_principles_for_dataintensive_web_sites,acm_sigmod_record,1999
andrew_eisenberg,jim_melton,nan,nan,sql_199_formerly_known_as_sql3,acm_sigmod_record,1999
anindya_datta,debra_e_vandermeer,aslihan_celik,vijay_kumar,broadcast_protocols_to_support_efficient_retrieval_from_databases_by_mobile_users,acm_transactions_on_database_systems_tods,1999
amit_sheth,clemens_bertram,kshitij_shah,nan,video_anywhere_a_system_for_searching_and_managing_distributed_heterogeneous_video_assets,acm_sigmod_record,1999
mike_carey,len_seligman,nan,nan,nsf_workshop_on_industrialacademic_cooperation_in_database_systems,acm_sigmod_record,1999
surajit_chaudhuri,kyuseok_shim,nan,nan,optimization_of_queries_with_userdefined_predicates,acm_transactions_on_database_systems_tods,1999
luis_gravano,h233ctor_garc237amolina,anthony_tomasic,nan,gloss_textsource_discovery_over_the_internet,acm_transactions_on_database_systems_tods,1999
mark_levene,george_loizou,nan,nan,database_design_for_incomplete_relations,acm_transactions_on_database_systems_tods,1999
jef_wijsen,nan,nan,nan,temporal_fds_on_complex_objects,acm_transactions_on_database_systems_tods,1999
tolga_bozkaya,meral_ozsoyoglu,nan,nan,indexing_large_metric_spaces_for_similarity_search_queries,acm_transactions_on_database_systems_tods,1999
fabio_casati,stefano_ceri,stefano_paraboschi,guiseppe_pozzi,specification_and_implementation_of_exceptions_in_workflow_management_systems,acm_transactions_on_database_systems_tods,1999
g237sli_r_hjaltason,hanan_samet,nan,nan,distance_browsing_in_spatial_databases,acm_transactions_on_database_systems_tods,1999
suad_alag237c,nan,nan,nan,typechecking_oql_queries_in_the_odmg_type_systems,acm_transactions_on_database_systems_tods,1999
david_ritter,nan,nan,nan,the_middleware_muddle,acm_sigmod_record,1998
phil_bernstein,michael_brodie,stefano_ceri,david_dewitt,the_asilomar_report_on_database_research,acm_sigmod_record,1998
michael_christoffel,sebastian_pulkowski,bethina_schmitt,peter_c_lockemann,electronic_market_the_roadmap_for_university_libraries_and_members_to_survive_in_the_information_jungle,acm_sigmod_record,1998
josep_domingoferrer,jordi_herrerajoancomart237,nan,nan,an_anonymous_electronic_commerce_scheme_with_an_offline_authority_and_untrusted_agents,acm_sigmod_record,1998
e_forte,f_haenni,k_warkentyne,e_duval,semantic_and_pedagogic_interoperability_mechanisms_in_the_ariadne_educational_repository,acm_sigmod_record,1999
d_scott_mackay,nan,nan,nan,semantic_integration_of_environmental_models_for_application_to_global_information_systems_and_decisionmaking,acm_sigmod_record,1999
a_m_ouksel,a_sheth,nan,nan,semantic_interoperability_in_global_information_systems,acm_sigmod_record,1999
andrew_eisenberg,jim_melton,nan,nan,sqlj_part_now_known_as_sqlolb_objectlanguage_bindings,acm_sigmod_record,1998
katia_sycara,matthias_klusch,seth_widoff,jianguo_lu,dynamic_service_matchmaking_among_agents_in_open_information_environments,acm_sigmod_record,1999
m_p_papazoglou,j_hoppenbrouwers,nan,nan,contextualizing_the_information_space_in_federated_digital_libraries,acm_sigmod_record,1999
arun_hampapur,nan,nan,nan,semantic_video_indexing_approach_and_issues,acm_sigmod_record,1999
ken_smith,leo_obrst,nan,nan,unpacking_the_semantics_of_source_and_usage_to_perform_semantic_reconciliation_in_largescale_information_systems,acm_sigmod_record,1999
mario_a_nascimento,claudia_bauzer_medeiros,nan,nan,report_on_the_13th_brazilian_symposium_on_database_systems_sbbd98,acm_sigmod_record,1999
avigdor_gal,nan,nan,nan,semantic_interoperability_in_information_services_experiencing_with_coopware,acm_sigmod_record,1999
jerry_fowler,brad_perry,marian_nodine,bruce_bargmeyer,agentbased_semantic_interoperability_in_infosleuth,acm_sigmod_record,1999
s_bergamaschi,s_castano,m_vincini,nan,semantic_integration_of_semistructured_and_structured_data_sources,acm_sigmod_record,1999
robert_s_epstein,nan,nan,nan,keynote_address,international_conference_on_management_of_data,1995
larry_j_ellison,nan,nan,nan,keynote_address,international_conference_on_management_of_data,1995
zahir_tari,john_stokes,stefano_spaccapietra,nan,object_normal_forms_and_dependency_constraints_for_objectoriented_schemata,acm_transactions_on_database_systems_tods,1997
veda_c_storey,roger_h_l_chiang,debabrata_dey,robert_c_goldstein,database_design_with_common_sense_business_reasoning_and_learning,acm_transactions_on_database_systems_tods,1997
justin_zobel,alistair_moffat,kotagiri_ramamohanarao,nan,inverted_files_versus_signature_files_for_text_indexing,acm_transactions_on_database_systems_tods,1998
sharad_mehrotra,rajeev_rastogi,henry_f_korth,abraham_silberschatz,ensuring_consistency_in_multidatabases_by_preserving_twolevel_serializability,acm_transactions_on_database_systems_tods,1998
a_prasad_sistla,ouri_wolfson,yelena_yesha,robert_sloan,towards_a_theory_of_cost_management_for_digital_libraries_and_electronic_commerce,acm_transactions_on_database_systems_tods,1998
david_konopnicki,oded_shmueli,nan,nan,information_gathering_in_the_worldwide_web_the_w3ql_query_language_and_the_w3qs_system,acm_transactions_on_database_systems_tods,1998
jing_chen,limsoon_wong,louxin_zhang,nan,a_protein_patent_query_system_powered_by_kleisli,international_conference_on_management_of_data,1998
shaul_dar,gadi_entin,shai_geva,eran_palmon,dtls_dataspot_database_exploration_as_easy_as_browsing_the_web,international_conference_on_management_of_data,1998
xiangning_liu,abdelsalam_helal,weimin_du,nan,multiview_access_protocols_for_largescale_replication,acm_transactions_on_database_systems_tods,1998
joseph_m_hellerstein,nan,nan,nan,optimization_techniques_for_queries_with_expensive_methods,acm_transactions_on_database_systems_tods,1998
osmar_r_za239ane,jiawei_han,zenian_li,sonny_h_chee,multimediaminer_a_system_prototype_for_multimedia_data_mining,international_conference_on_management_of_data,1998
jang_ho_park,yong_sik_kwon,ki_hong_kim,sang_ho_lee,xmas_an_extensible_mainmemory_storage_system_for_highperformance_applications,international_conference_on_management_of_data,1998
stefano_ceri,piero_fraternali,stefano_paraboschi,nan,the_idea_web_lab,international_conference_on_management_of_data,1998
motomichi_toyama,nan,nan,nan,supersql_an_extended_sql_for_database_publishing_and_presentation,international_conference_on_management_of_data,1998
ron_avnur,joseph_m_hellerstein,bruce_lo,chris_olston,control_continuous_output_and_navigation_technology_with_refinement_online,international_conference_on_management_of_data,1998
marcel_kornacker,mehul_shah,joseph_m_hellerstein,nan,amdb_an_access_method_debugging_tool,international_conference_on_management_of_data,1998
zo233_lacroix,arnaud_sahuguet,raman_chandrasekar,nan,useroriented_smartcache_for_the_web_what_you_seek_is_what_you_get,international_conference_on_management_of_data,1998
p_baumann,a_dehmel,p_furtado,r_ritsch,the_multidimensional_database_system_rasdaman,international_conference_on_management_of_data,1998
bartek_kiepuszewski,ralf_muhlberger,maria_e_orlowska,nan,flowback_providing_backward_recovery_for_workflow_management_systems,international_conference_on_management_of_data,1998
william_w_cohen,nan,nan,nan,providing_databaselike_access_to_the_web_using_queries_based_on_textual_similarity,international_conference_on_management_of_data,1998
jos233_luis_ambite,naveen_ashish,greg_barish,craig_a_knoblock,ariadne_a_system_for_constructing_mediators_for_internet_sources,international_conference_on_management_of_data,1998
chen_li,ramana_yerneni,vasilis_vassalos,hector_garciamolina,capability_based_mediation_in_tsimmis,international_conference_on_management_of_data,1998
g_mecca,p_atzeni,a_masci,g_sindoni,the_araneus_webbased_management_system,international_conference_on_management_of_data,1998
ling_liu,calton_pu,wei_tang,david_buttler,cq_a_personalized_update_monitoring_toolkit,international_conference_on_management_of_data,1998
chris_olston,allison_woodruff,alexander_aiken,michael_chu,datasplash,international_conference_on_management_of_data,1998
surajit_chaudhuri,vivek_narasayya,nan,nan,microsoft_index_turning_wizard_for_sql_server_70,international_conference_on_management_of_data,1998
edwin_r_lassettre,nan,nan,nan,olympic_records_for_data_at_the_1998_nagano_games,international_conference_on_management_of_data,1998
eric_a_brewer,nan,nan,nan,delivering_high_availability_for_inktomi_search_engines,international_conference_on_management_of_data,1998
sherri_kennamer,nan,nan,nan,microsoftcom_a_highscale_data_management_and_transaction_processing_solution,international_conference_on_management_of_data,1998
bin_li,dennis_shasha,nan,nan,free_parallel_data_mining,international_conference_on_management_of_data,1998
james_chong,nan,nan,nan,real_business_processing_meets_the_web,international_conference_on_management_of_data,1998
john_nauman,ray_suorsa,nan,nan,developing_a_high_traffi_readonly_web_site,international_conference_on_management_of_data,1998
daniel_s_whelan,nan,nan,nan,filenet_integrated_document_management_database_usage_and_issues,international_conference_on_management_of_data,1998
kamar_aulakh,nan,nan,nan,about_quark_digital_media_system,international_conference_on_management_of_data,1998
tirthankar_lahiri,ashok_joshi,amit_jasuja,sumanta_chatterjee,5_000_users_on_an_oracle8_universal_server_database,international_conference_on_management_of_data,1998
richard_anderson,gopalan_arun,richard_frank,nan,oracle_rdbs_record_caching_model,international_conference_on_management_of_data,1998
kiansing_ng,huan_liu,hweebong_kwah,nan,a_data_mining_application_customer_retention_at_the_port_of_singapore_authority_psa,international_conference_on_management_of_data,1998
arvola_chan,nan,nan,nan,transactional_publishsubscribe_the_proactive_multicast_of_database_changes_abstract,international_conference_on_management_of_data,1998
satish_ramakrishnan,vibha_dayal,nan,nan,the_pointcast_network_abstract,international_conference_on_management_of_data,1998
michael_franklin,stan_zdonik,nan,nan,data_in_your_face_push_technology_in_perspective,international_conference_on_management_of_data,1998
peter_spiro,nan,nan,nan,ubiquitou_selftunin_scalable_servers,international_conference_on_management_of_data,1998
c_gregory_doherty,nan,nan,nan,database_systems_management_and_oracle8,international_conference_on_management_of_data,1998
chris_eaton,nan,nan,nan,managing_large_systems_with_db2_udb,international_conference_on_management_of_data,1998
berthold_reinwald,hamid_pirahesh,nan,nan,sql_open_heterogeneous_data_access,international_conference_on_management_of_data,1998
seth_white,rick_cattell,shel_finkelstein,nan,enterprise_java_platform_data_access,international_conference_on_management_of_data,1998
jos233_a_blakeley,michael_j_pizzo,nan,nan,microsoft_universal_data_access_platform,international_conference_on_management_of_data,1998
gray_clossman,phil_shaw,mark_hapner,johannes_klein,java_and_relational_databases_tutorial_sqlj,international_conference_on_management_of_data,1998
stefan_berchtold,daniel_a_keim,nan,nan,highdimensional_index_structures_database_support_for_next_decades_applications_tutorial,international_conference_on_management_of_data,1998
nabil_r_adam,yelena_yesha,nan,nan,electronic_commerce_tutorial,international_conference_on_management_of_data,1998
alfons_kemper,donald_kossmann,florian_matthes,nan,sap_r3_tutorial_a_database_application_system,international_conference_on_management_of_data,1998
michael_stonebraker,nan,nan,nan,are_we_working_on_the_right_problems_panel,international_conference_on_management_of_data,1998
john_mylopoulos,nan,nan,nan,next_generation_database_systems_wont_work_without_semantics_panel,international_conference_on_management_of_data,1998
per197ke_larson,goetz_graefe,nan,nan,memory_management_during_run_generation_in_external_sorting,international_conference_on_management_of_data,1998
todd_anderson,yuri_breitbart,henry_f_korth,avishai_wool,replicatio_consistenc_and_practicality_are_these_mutually_exclusive,international_conference_on_management_of_data,1998
yossi_matias,jeffrey_scott_vitter,min_wang,nan,waveletbased_histograms_for_selectivity_estimation,international_conference_on_management_of_data,1998
david_lomet,gerhard_weikum,nan,nan,efficient_transparent_application_recovery_in_clientserver_information_systems,international_conference_on_management_of_data,1998
gurmeet_singh_manku,sridhar_rajagopalan,bruce_g_lindsay,nan,approximate_medians_and_other_quantiles_in_one_pass_and_with_limited_memory,international_conference_on_management_of_data,1998
surajit_chaudhuri,rajeev_motwani,vivek_narasayya,nan,random_sampling_for_histogram_construction_how_much_is_enough,international_conference_on_management_of_data,1998
s_adali,p_bonatti,m_l_sapino,v_s_subrahmanian,a_multisimilarity_algebra,international_conference_on_management_of_data,1998
mary_fern225ndez,daniela_florescu,jaewoo_kang,alon_levy,catching_the_boat_with_strudel_experiences_with_a_website_management_system,international_conference_on_management_of_data,1998
michael_jaedicke,bernhard_mitschang,nan,nan,on_parallel_processing_of_aggregate_and_scalar_functions_in_objectrelational_dbms,international_conference_on_management_of_data,1998
michael_godfrey,tobias_mayr,praveen_seshadri,thorsten_von_eicken,secure_and_portable_database_extensibility,international_conference_on_management_of_data,1998
surajit_chaudhuri,rajeev_motwani,vivek_narasayya,nan,on_random_sampling_over_joins,international_conference_on_management_of_data,1999
gurmeet_singh_manku,sridhar_rajagopalan,bruce_g_lindsay,nan,random_sampling_techniques_for_space_efficient_online_computation_of_order_statistics_of_large_datasets,international_conference_on_management_of_data,1999
peter_j_haas,joseph_m_hellerstein,nan,nan,ripple_joins_for_online_aggregation,international_conference_on_management_of_data,1999
swarup_acharya,phillip_b_gibbons,viswanath_poosala,sridhar_ramaswamy,join_synopses_for_approximate_query_answering,international_conference_on_management_of_data,1999
daniela_florescu,alon_levy,ioana_manolescu,dan_suciu,query_optimization_in_the_presence_of_limited_access_patterns,international_conference_on_management_of_data,1999
zachary_g_ives,daniela_florescu,marc_friedman,alon_levy,an_adaptive_query_execution_system_for_data_integration,international_conference_on_management_of_data,1999
chenchuan_k_chang,h233ctor_garc237amolina,nan,nan,mind_your_vocabulary_query_mapping_across_heterogeneous_information_sources,international_conference_on_management_of_data,1999
arunprasad_p_marathe,kenneth_salem,nan,nan,query_processing_techniques_for_arrays,international_conference_on_management_of_data,1999
johannes_gehrke,venkatesh_ganti,raghu_ramakrishnan,weiyin_loh,boatoptimistic_decision_tree_construction,international_conference_on_management_of_data,1999
laks_v_s_lakshmanan,raymond_ng,jiawei_han,alex_pang,optimization_of_constrained_frequent_set_queries_with_2variable_constraints,international_conference_on_management_of_data,1999
jeffrey_scott_vitter,min_wang,nan,nan,approximate_computation_of_multidimensional_aggregates_of_sparse_data_using_wavelets,international_conference_on_management_of_data,1999
ashraf_aboulnaga,surajit_chaudhuri,nan,nan,selftuning_histograms_building_histograms_without_looking_at_data,international_conference_on_management_of_data,1999
cheeyong_chan,yannis_e_ioannidis,nan,nan,an_efficient_bitmap_encoding_scheme_for_selection_queries,international_conference_on_management_of_data,1999
juhong_lee,deokhwan_kim,chinwan_chung,nan,multidimensional_selectivity_estimation_using_compressed_histogram_information,international_conference_on_management_of_data,1999
bj246rn_blohsfeld,dieter_korus,bernhard_seeger,nan,a_comparison_of_selectivity_estimators_for_range_queries_on_metric_attributes,international_conference_on_management_of_data,1999
mingchuan_wu,nan,nan,nan,query_optimization_for_selections_using_bitmaps,international_conference_on_management_of_data,1999
charu_c_aggarwal,joel_l_wolf,philip_s_yu,cecilia_procopiuc,fast_algorithms_for_projected_clustering,international_conference_on_management_of_data,1999
david_lomet,mark_tuttle,nan,nan,logical_logging_to_extend_recovery_to_new_domains,international_conference_on_management_of_data,1999
jayavel_shanmugasundaram,arvind_nithrakashyap,rajendran_sivasankaran,krithi_ramamritham,efficient_concurrency_control_for_broadcast_environments,international_conference_on_management_of_data,1999
yuri_breitbart,raghavan_komondoor,rajeev_rastogi,s_seshadri,update_propagation_protocols_for_replicated_databates,international_conference_on_management_of_data,1999
hasan_m_jamil,nan,nan,nan,belief_reasoning_in_mls_deductive_databases,international_conference_on_management_of_data,1999
s_adali,m_l_sapino,v_s_subrahmanian,nan,a_multimedia_presentation_algebra,international_conference_on_management_of_data,1999
